Dialogue_ID	Utterance_ID	Utterance	label
257	0	all right, i know! i know. yeah, it'll be okay.	s
856	4	yeah, i thought so too but, she said the casting people had some problems with me.	ans
1001	11	how much do you think i can get for my kidney?	q
706	0	i can't	s
186	4	wait, just a second.	s
945	10	oh well then, so i'm just going to go back to talking to my friend here.	s
50	10	okay, that's why you didn't want me to touch him right?	q
672	15	oh, sure! i'm sure.	ans
872	2	well, at least she had the chance to leave a man at the altar...	s
118	0	i invented the game of cups as a way to give joey money.	s
64	12	we are going to have a legitimate member of the clergy! and when i say legitimate i mean, gay and in control of his saliva!	s
58	1	uh-huh.	b
622	9	this is completely normal, around the fourth month your hormones start going crazy.	s
686	10	okay. sorry.	ap
1018	3	ross i'm so sorry. okay. i-i will promise i will straighten this out with him tomorrow in person, or via e-mail.	ap
164	4	oh.	b
225	5	i got you the best one i could, 'cause that's not where you want to skimp.	s
123	8	you'd better hope not because i just read what you put on your    page today.	o
822	0	okay, so we got some more good rejections, lots of stuff to work on.	s
724	2	what about glen? he could be a glen.	q
425	2	then she'll have to come back here and live all alone.	s
778	7	oh, a 16-hour sit-in for greenpeace.	ans
249	0	remember i had to leave the room the other day when you had that roast chicken?	q
438	2	well, i just wanted to see where you lived. now, give me the tour.	c
505	12	phoebe, you said it was urgent!	ans
588	5	apparently you're not very good at it!	ans
311	4	what did you want to show us? because all i can see is this	q
150	3	y'know this is actually not a great time for me.	o
374	11	we don't care about where we stay.	s
312	5	noo.	ans
524	5	destiny.	s
42	0	everything's gonna be all right. okay, dick?	o
694	2	whose is it?	q
173	8	sing!!	c
844	0	dr. geller, there's a seat over here.	s
1015	2	loved your stevie wonder last night.	s
366	2	i'm like the bing, bing, bing.	s
119	5	why?	q
665	2	well, okay, so what's now—go get, go get the eggs, put 'em in there.	c
607	15	yeah.	ag
367	11	really?	q
836	11	hey, you guys	g
657	19	so, does this  come in another color or	s
312	17	noo!! i don't care! i'm not, i'm not gonna playing one-on-one strip poker with you for practice!	o
703	5	what?	q
932	6	please, what about you and chandler?	q
375	3	oh god, i'm sorry!	ap
478	1	yeah! and also, a little like a french guy.  i never noticed that before.	ans
111	6	there huh—hmm, there-there was an incident.	s
752	1	y'know, if, if this is too weird for you, we can still back out at	s
893	3	well then let me do it!	s
886	14	now, i know what you're thinking	q
473	4	hey.	g
1023	6	you can not play bagpipes at the wedding!!	oth
160	12	oh well that?s great, so i guess this is ah, this is good bye then. huh?  good bye.	g
610	3	i was	ans
696	2	oh well, chandler and monica are over there and it's kinda hard to concentrate.	ans
342	7	y'know what? you're just upset because you're losing.	o
254	9	damn you monica geller hyphen bing!	oth
868	1	okay.	b
535	0	you are iron.	s
255	13	i'm like those women that you see with shiny guys named chad.	s
207	15	monica, can i talk to you behind my menu, please.  what are you doing?	q
606	3	you can't be a lawyer. you're eight.	dag
351	5	oh? really? that's what my daughter means to you? nothing?	q
851	10	yeah!	ans
404	10	whoa ho.	a
212	0	after applying the waxine and linen strips to leg number one	s
837	1	it's phoebe! phoebe!	ans
529	8	she-she thinks that you're just using me.	s
